============================================================
  Generated by:           Encounter(R) RTL Compiler v14.10-s022_1
  Generated on:           Apr 12 2025  05:37:43 pm
  Module:                 PROCESSOR
  Technology library:     CORE65LPSVT 
  Operating conditions:   _nominal_ (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

                            Leakage    Dynamic      Total    
      Instance      Cells  Power(nW)  Power(nW)   Power(nW)  
-------------------------------------------------------------
PROCESSOR            3511 171619.065 5124552.748 5296171.813 
  datapath_module    3464 170156.821 4943803.440 5113960.261 
    reg_file_module  1781 123774.625 3163210.586 3286985.211 
    alu_module       1683  46382.196 1780592.854 1826975.051 
      mul_44_34      1002  28338.485 1241311.682 1269650.167 
      sll_42_34       150   3800.048  140385.042  144185.090 
      srl_43_34       147   3253.781  124627.279  127881.060 
      sub_35_34        94   2859.198   15397.179   18256.378 
      add_34_34        32   1597.051   23608.915   25205.966 
  IFU_module           31   1046.831   19531.542   20578.373 
    instr_mem          24    696.699    7556.742    8253.441 
  control_module       16    415.414    1717.056    2132.469 

